event_id,name,event_type,date,stations_impacted,demand_modifier,description
E001,University Semester Start,Commute,9/1/2025,S2;S3,1.25,Start of academic semester
E002,Weekend Retail Rush,Retail,9/5/2025,S1;S2,1.15,Weekend shopping
E003,Football Match,Sports,9/12/2025,S2;S3,1.4,Local football match
E004,City Marathon,Sports,9/28/2025,S2;S3;S6,1.45,City marathon
E005,Saudi National Day,NationalHoliday,9/23/2025,S1;S2;S3;S4;S5;S6,1.8,National celebrations
E010,Riyadh Season Opening,Festival,10/1/2025,S1;S3;S4,1.4,Season opening crowds
E011,Tech Conference,Conference,10/10/2025,S1,1.3,Business visitors
E012,Weekend Mall Festival,Retail,10/17/2025,S1;S2,1.2,Retail campaign
E013,Concert Night,Concert,10/25/2025,S2;S3,1.35,Music concert
E020,Book Fair Riyadh,Exhibition,11/10/2025,S4;S3,1.4,International book fair
E021,Business Summit,Conference,11/20/2025,S1;S2,1.25,Corporate travel
E022,Football Derby,Sports,11/28/2025,S2;S3,1.45,Major football match
E030,Winter Festival,Festival,12/5/2025,S1;S3,1.35,Winter entertainment
E031,Western Expo,Expo,12/12/2025,S6,1.3,Industrial exhibition
E032,Year End Travel,AirportSurge,12/28/2025,S5;S6,1.5,Holiday travel surge
E033,New Year Celebration,Holiday,12/31/2025,S2;S3,1.55,City celebration
E040,New Year Return,Travel,1/2/2026,S5;S6,1.4,Return travel wave
E041,Winter Conference,Conference,1/15/2026,S1,1.25,Corporate events
E042,Football Cup Final,Sports,1/25/2026,S2;S3,1.5,Stadium attendance
E050,Founding Day,NationalHoliday,2/22/2026,S1;S2;S3;S4,1.7,National holiday
E051,Coffee Expo,Exhibition,2/10/2026,S2;S6,1.3,Trade exhibition
E052,Gamers Festival,Festival,2/18/2026,S1;S2,1.35,Youth event
E060,Food Show,Exhibition,3/12/2026,S1;S6,1.25,International food expo
E061,Riyadh Marathon,Sports,3/20/2026,S2;S3;S6,1.4,City marathon
E062,Spring Festival,Festival,3/27/2026,S3;S4,1.3,Seasonal crowds
E070,Ramadan Nights,Religious,4/5/2026,S3;S4,1.35,Evening gatherings
E071,Eid Shopping,Retail,4/10/2026,S1;S2,1.4,Pre-Eid shopping
E072,Eid Travel Surge,AirportSurge,4/12/2026,S5;S6,1.6,Holiday travel
E080,Exam Season Commute,Commute,5/5/2026,S2;S3,1.2,Student travel
E081,Tech Expo,Conference,5/18/2026,S1,1.25,Industry conference
E082,Concert Event,Concert,5/25/2026,S2;S3,1.35,Music event
E090,Summer Travel Start,AirportSurge,6/10/2026,S5;S6,1.45,Vacation departures
E091,Shopping Festival,Retail,6/18/2026,S1;S2,1.25,Summer retail
E092,Football Match,Sports,6/28/2026,S2;S3,1.4,Summer sports event
